chunk_id,text,text_length,meta_filename,meta_page_numbers,meta_title,meta_headings,meta_chunking_strategy
0,_____________________________________________________________________________________,85,Lab Manual - Safety.pdf,1,Lab Manual: Safety,Lab Manual: Safety,default
1,"1. Emergency Contacts
2. Material Safety Datasheets
3. Emergency Response
4. Alarm Systems and Exits
5. Evacuation Procedures
6. Hoods and Carboys
7. Chemical Handling
8. Chemical Spills
9. Emergencies
10. First Aid
_____________________________________________________________________________________
This contact list is posted next to all telephones in the cleanroom.",370,Lab Manual - Safety.pdf,"1, 2",Table of Contents,Table of Contents,default
2,", 1 = Facility staff contacts:. Milan Begliarbekov, Facility Manager, 1 = 33311. Shawn Kilpatrick, Research Specialist, 1 = 33312. Vishal Narang, Senior Scientist, 1 = 33313. Jasmine Sabio, Process Engineer, 1 = 33328. For urgent safety matters, if staff are unavailable, contact Aldo Orlando on his cell phone:, 1 = 91 (646) 673-2897. For fire and medical emergencies, contact:, 1 = . Public Safety EMERGENCY, 1 = 91 (212) 650-7777
For fires, contact CCNY Public Safety and the immediately evacuate and alert others in your area to do the same Close doors and walk quickly to the nearest exit. Activate nearest red fire-alarm box. Use North or South stairs only. DO NOT use Central stairs or elevators pull
You must inform staff of all safety related incidents or concerns in a timely manner. For non-urgent matters, can be reached via their individual emails or the Nanofab email (nanofab@gc.cuny.edu) . staff
For medical emergencies, contact CCNY Public Safety.  Report the nature of the injury, exact location of injured person(s) and any hazards. Render First Aid or CPR only if qualified .
For useful equipment and facility information and updates, be sure to join the Nanofab Slack workspace:
*Map of phones and emergency contacts locations in cleanroom",1260,Lab Manual - Safety.pdf,2,NanoFabrication Facility ADVANCED SCIENCE RESEARCH CENTER,NanoFabrication Facility ADVANCED SCIENCE RESEARCH CENTER,default
3,"Also known as MSDS and SDS (Safety Data Sheets).
Before working with a chemical, the MSDS must be thoroughly reviewed.
Copies of the MSDS's for all chemicals can be found in:
◦ The gowning room
◦ The NanoFab01 Drive
◦ NanoFab website (give URL for page)
*Image of MSDS binder in gowning room
*Details of NanoFab Drive",317,Lab Manual - Safety.pdf,3,Material Safety Data Sheets,Material Safety Data Sheets,default
4,"◦ If the fire is small enough, use the fire extinguisher to put the fire out if you have been instructed on how to use it.
◦ Notify others in the cleanroom and evacuate the lab.
◦ Notify cleanroom staff.",203,Lab Manual - Safety.pdf,3,In the event of a fire:,In the event of a fire:,default
5,"◦ Call Public Safety (91 (212) 650-7777) if you need immediate medical assistance.
◦ Follow procedures described in this document specific for each type of event.",162,Lab Manual - Safety.pdf,3,In the event of a medical emergency:,In the event of a medical emergency:,default
6,"◦ Contact staff.
◦ Shutdown water supply if you can identify the source.",72,Lab Manual - Safety.pdf,3,In the event of flooding or a utility problem:,In the event of flooding or a utility problem:,default
7,Fire Alarm : Exit the cleanroom and the building.,49,Lab Manual - Safety.pdf,4,Alarm Systems and Exits,Alarm Systems and Exits,default
8,"◦ Blue Alarm (Danger Level): Exit the cleanroom and building.
◦ Orange Alarm (Warning Level): Exit the cleanroom.
◦ Green Light: Normal/safe conditions.
Emergency Gas Off (EGO): if a gas leak is detected, press the EGO button
Fire Alarm: in the event of a fire, pull the fire alarm
Emergency Gas Off (EGO) and Fire Alarm is located in the gowning room next to the Material Safety Data Sheets.",392,Lab Manual - Safety.pdf,4,Gas Detection Alarm :,Gas Detection Alarm :,default
9,"Only push in the event of life threatening emergencies such as visible flames or electrocution.
A process malfunction is NOT an emergency.
Pressing the button will damage the instrument.",186,Lab Manual - Safety.pdf,5,Equipment EMO Buttons,Equipment EMO Buttons,default
10,"hallway
Park
Terrace",20,Lab Manual - Safety.pdf,6,Building Egress from the Cleanroom,Building Egress from the Cleanroom,default
