chunk_id,text,text_length,meta_filename,meta_page_numbers,meta_title,meta_headings,meta_chunking_strategy
0,Publication date 12.05.2014,27,NIKON NIS ELEMENTS D Software Manual.pdf,1,Manual,Manual,hierarchical
1,v. 4.30.00,10,NIKON NIS ELEMENTS D Software Manual.pdf,1,Manual,Manual,hierarchical
2,"No part of this publication may be reproduced or transmitted except with the written permission of Laboratory Imaging, s. r. o. Information within this publication is subject to change without notice. Changes, technical inaccuracies and typographical errors will be corrected in subsequent editions.",299,NIKON NIS ELEMENTS D Software Manual.pdf,1,Manual,Manual,hierarchical
3,"LABORATORY IMAGING, spol. s.r.o. Za Drahou 171/17 102 00 Praha 10 Czech Republic",80,NIKON NIS ELEMENTS D Software Manual.pdf,1,Manual,Manual,hierarchical
4,Table of Contents,17,NIKON NIS ELEMENTS D Software Manual.pdf,3,Manual,Manual,hierarchical
5,"1. Command Line Startup Options ........................................................................................... 1, 1 = . 2. Installation and Settings ....................................................................................................., 1 = 5. 2.1. Installation and Updates .........................................................................................., 1 = 5. 2.2. User Rights .........................................................................................................., 1 = 11. 2.3. NIS-Elements Preferences ...................................................................................... 19, 1 = . 3. User Interface ................................................................................................................., 1 = 23. 3.1. Main Window Components ..................................................................................... 24, 1 = . 3.2. Image Window ...................................................................................................... 27, 1 = . 3.3. Arranging User Interface ........................................................................................, 1 = 28. 3.4. Layouts ..............................................................................................................., 1 = 29. 3.5. Layout Manager .................................................................................................... 30, 1 = . 3.6. Modifying Tool Bars ............................................................................................... 31, 1 = . 3.7. Modifying Menus ................................................................................................... 33, 1 = . 3.8. Running a Macro Upon Layout Change ..................................................................... 34, 1 = . 3.9. Appearance Options .............................................................................................. 34, 1 = . 3.10. Simplified User Interface ...................................................................................... 35, 1 = . 4. Cameras & Devices .......................................................................................................... 39, 1 = . 4.1. Basic Workflows .................................................................................................... 39, 1 = . 5. Image Acquisition ............................................................................................................, 1 = 55. 5.1. Introduction to Image Acquisition ............................................................................, 1 = 55. 5.2. Shading Correction ..............................................................................................., 1 = 56. 5.3. Camera ROI ........................................................................................................., 1 = 57. 5.4. About ND Acquisition ............................................................................................. 59, 1 = . 5.5. Time-lapse Acquisition ..........................................................................................., 1 = 60. 5.6. Multi-point Acquisition ..........................................................................................., 1 = 63. 5.7. Z-series Acquisition ................................................................................................ 66, 1 = . 6. Displaying Images ............................................................................................................ 69, 1 = . 6.1. Opening Image Files .............................................................................................. 69, 1 = . 6.2. Image Layers ........................................................................................................ 71, 1 = . 6.3. Navigation in ND2 Files ........................................................................................., 1 = 74. 6.4. ND Views ............................................................................................................., 1 = 76. 6.5. Large Images ......................................................................................................., 1 = 77. 6.6. LUTs (Look-Up Tables) ............................................................................................ 79, 1 = . 6.7. Organizer ............................................................................................................., 1 = 84. 6.8. Database ............................................................................................................., 1 = 88. 6.9. Saving Image Files ................................................................................................, 1 = 91. 6.10. Closing Images ..................................................................................................., 1 = 93. 6.11. Supported Image Formats .................................................................................... 94, 1 = . 7. Image Analysis ................................................................................................................. 97, 1 = . 7.1. Preprocessing ......................................................................................................., 1 = 97. 7.2. Histogram ............................................................................................................, 1 = 97. 7.3. Thresholding ....................................................................................................... 100, 1 = . 7.4. Binary Layer ......................................................................................................., 1 = 108. 7.5. Mathematical Morphology Basics .......................................................................... 109, 1 = . 7.6. Regions of Interest - ROIs ....................................................................................., 1 = 112",5903,NIKON NIS ELEMENTS D Software Manual.pdf,3,Manual,Manual,hierarchical
6,"8. Measurement ..............................................................................................................., 1 = 117. 8.1. Calibration ........................................................................................................., 1 = 117. 8.2. Units ................................................................................................................., 1 = 118. 8.3. Rough Measurement ........................................................................................... 119, 1 = . 8.4. Manual Measurement ........................................................................................., 1 = 120. 8.5. Object Count ......................................................................................................, 1 = 122. 8.6. Automated Measurement ..................................................................................... 127, 1 = . 8.7. Measurement Options ........................................................................................., 1 = 129. 8.8. Measurement Features ......................................................................................., 1 = 129. 8.9. Measurement on Graph ....................................................................................... 143, 1 = . 8.10. Pixel Classifier .................................................................................................., 1 = 143. 8.11. Exporting Results .............................................................................................., 1 = 146. 9. Creating Reports ..........................................................................................................., 1 = 149. 9.1. Report Generator ................................................................................................, 1 = 149. 9.2. Report Objects ..................................................................................................., 1 = 150. 9.3. Report Templates ................................................................................................ 153, 1 = . 9.4. Creating Reports from Database ........................................................................... 153, 1 = . 10. Macros ......................................................................................................................., 1 = 155. 10.1. Creating Macros ................................................................................................ 155, 1 = . 10.2. Running a Macro ............................................................................................... 157, 1 = . 10.3. Macro Language Syntax ..................................................................................... 157, 1 = . 10.4. Controlling Cameras by Macro ............................................................................, 1 = 164. 10.5. Interactive Advanced Macro (API) ........................................................................ 165, 1 = . 10.6. Macro Preferences ............................................................................................, 1 = 165. 11. Movies ......................................................................................................................., 1 = 167. 11.1. Capturing AVI Movie ........................................................................................... 167, 1 = . 11.2. Save ND2 as AVI ..............................................................................................., 1 = 167. 11.3. About Video Compression .................................................................................., 1 = 167. 12. Additional Modules ......................................................................................................, 1 = 169. 12.1. Automatic Measurement .................................................................................... 169, 1 = . 12.2. Database ........................................................................................................., 1 = 169. 12.3. Extended Depth of Focus ................................................................................... 169, 1 = . 12.4. Filters Particle Analysis ......................................................................................, 1 = 169. 12.5. HDR ................................................................................................................, 1 = 169. 12.6. Industrial GUI ..................................................................................................., 1 = 169. 12.7. Interactive Advanced Macro (API) ......................................................................... 170, 1 = . 12.8. Live Comparisons .............................................................................................. 170, 1 = . 12.9. Local Option ....................................................................................................., 1 = 170. 12.10. Metalo - Cast Iron Analysis ................................................................................ 170, 1 = . 12.11. Metalo - Grain Size Analysis .............................................................................. 170, 1 = . General Index ..................................................................................................................., 1 = 171",5297,NIKON NIS ELEMENTS D Software Manual.pdf,4,Manual,Manual,hierarchical
7,See also 2.1.3. Command Line Installation Options [9].,54,NIKON NIS ELEMENTS D Software Manual.pdf,5,1. Command Line Startup Options,1. Command Line Startup Options,hierarchical
8,"When starting NIS-Elements from the command line (or when editing the desktop shortcut properties), you may append some switches with parameters to the main command and thereby modify the startup behavior.",205,NIKON NIS ELEMENTS D Software Manual.pdf,5,1. Command Line Startup Options,1. Command Line Startup Options,hierarchical
9,Note,4,NIKON NIS ELEMENTS D Software Manual.pdf,5,1. Command Line Startup Options,1. Command Line Startup Options,hierarchical
