chunk_id,text,text_length,meta_filename,meta_page_numbers,meta_title,meta_headings,meta_chunking_strategy
0,"Publication date 12.05.2014
v. 4.30.00
No part of this publication may be reproduced or transmitted except with the written permission of Laboratory Imaging, s. r. o. Information within this publication is subject to change without notice. Changes, technical inaccuracies and typographical errors will be corrected in subsequent editions.
LABORATORY IMAGING, spol. s.r.o. Za Drahou 171/17 102 00 Praha 10 Czech Republic
Table of Contents",437,NIKON NIS ELEMENTS D Software Manual.pdf,"1, 3",Manual,Manual,balanced
1,"1. Command Line Startup Options ........................................................................................... 1, 1 = . 2. Installation and Settings ....................................................................................................., 1 = 5. 2.1. Installation and Updates .........................................................................................., 1 = 5. 2.2. User Rights .........................................................................................................., 1 = 11. 2.3. NIS-Elements Preferences ...................................................................................... 19, 1 = . 3. User Interface ................................................................................................................., 1 = 23. 3.1. Main Window Components ..................................................................................... 24, 1 = . 3.2. Image Window ...................................................................................................... 27, 1 = . 3.3. Arranging User Interface ........................................................................................, 1 = 28. 3.4. Layouts ..............................................................................................................., 1 = 29. 3.5. Layout Manager .................................................................................................... 30, 1 = . 3.6. Modifying Tool Bars ............................................................................................... 31, 1 = . 3.7. Modifying Menus ................................................................................................... 33, 1 = . 3.8. Running a Macro Upon Layout Change ..................................................................... 34, 1 = . 3.9. Appearance Options .............................................................................................. 34, 1 = . 3.10. Simplified User Interface ...................................................................................... 35, 1 = . 4. Cameras & Devices .......................................................................................................... 39, 1 = . 4.1. Basic Workflows .................................................................................................... 39, 1 = . 5. Image Acquisition ............................................................................................................, 1 = 55. 5.1. Introduction to Image Acquisition ............................................................................, 1 = 55. 5.2. Shading Correction ..............................................................................................., 1 = 56. 5.3. Camera ROI ........................................................................................................., 1 = 57. 5.4. About ND Acquisition ............................................................................................. 59, 1 = . 5.5. Time-lapse Acquisition ..........................................................................................., 1 = 60. 5.6. Multi-point Acquisition ..........................................................................................., 1 = 63. 5.7. Z-series Acquisition ................................................................................................ 66, 1 = . 6. Displaying Images ............................................................................................................ 69, 1 = . 6.1. Opening Image Files .............................................................................................. 69, 1 = . 6.2. Image Layers ........................................................................................................ 71, 1 = . 6.3. Navigation in ND2 Files ........................................................................................., 1 = 74. 6.4. ND Views ............................................................................................................., 1 = 76. 6.5. Large Images ......................................................................................................., 1 = 77. 6.6. LUTs (Look-Up Tables) ............................................................................................ 79, 1 = . 6.7. Organizer ............................................................................................................., 1 = 84. 6.8. Database ............................................................................................................., 1 = 88. 6.9. Saving Image Files ................................................................................................, 1 = 91. 6.10. Closing Images ..................................................................................................., 1 = 93. 6.11. Supported Image Formats .................................................................................... 94, 1 = . 7. Image Analysis ................................................................................................................. 97, 1 = . 7.1. Preprocessing ......................................................................................................., 1 = 97. 7.2. Histogram ............................................................................................................, 1 = 97. 7.3. Thresholding ....................................................................................................... 100, 1 = . 7.4. Binary Layer ......................................................................................................., 1 = 108. 7.5. Mathematical Morphology Basics .......................................................................... 109, 1 = . 7.6. Regions of Interest - ROIs ....................................................................................., 1 = 112",5903,NIKON NIS ELEMENTS D Software Manual.pdf,3,Manual,Manual,balanced
2,"8. Measurement ..............................................................................................................., 1 = 117. 8.1. Calibration ........................................................................................................., 1 = 117. 8.2. Units ................................................................................................................., 1 = 118. 8.3. Rough Measurement ........................................................................................... 119, 1 = . 8.4. Manual Measurement ........................................................................................., 1 = 120. 8.5. Object Count ......................................................................................................, 1 = 122. 8.6. Automated Measurement ..................................................................................... 127, 1 = . 8.7. Measurement Options ........................................................................................., 1 = 129. 8.8. Measurement Features ......................................................................................., 1 = 129. 8.9. Measurement on Graph ....................................................................................... 143, 1 = . 8.10. Pixel Classifier .................................................................................................., 1 = 143. 8.11. Exporting Results .............................................................................................., 1 = 146. 9. Creating Reports ..........................................................................................................., 1 = 149. 9.1. Report Generator ................................................................................................, 1 = 149. 9.2. Report Objects ..................................................................................................., 1 = 150. 9.3. Report Templates ................................................................................................ 153, 1 = . 9.4. Creating Reports from Database ........................................................................... 153, 1 = . 10. Macros ......................................................................................................................., 1 = 155. 10.1. Creating Macros ................................................................................................ 155, 1 = . 10.2. Running a Macro ............................................................................................... 157, 1 = . 10.3. Macro Language Syntax ..................................................................................... 157, 1 = . 10.4. Controlling Cameras by Macro ............................................................................, 1 = 164. 10.5. Interactive Advanced Macro (API) ........................................................................ 165, 1 = . 10.6. Macro Preferences ............................................................................................, 1 = 165. 11. Movies ......................................................................................................................., 1 = 167. 11.1. Capturing AVI Movie ........................................................................................... 167, 1 = . 11.2. Save ND2 as AVI ..............................................................................................., 1 = 167. 11.3. About Video Compression .................................................................................., 1 = 167. 12. Additional Modules ......................................................................................................, 1 = 169. 12.1. Automatic Measurement .................................................................................... 169, 1 = . 12.2. Database ........................................................................................................., 1 = 169. 12.3. Extended Depth of Focus ................................................................................... 169, 1 = . 12.4. Filters Particle Analysis ......................................................................................, 1 = 169. 12.5. HDR ................................................................................................................, 1 = 169. 12.6. Industrial GUI ..................................................................................................., 1 = 169. 12.7. Interactive Advanced Macro (API) ......................................................................... 170, 1 = . 12.8. Live Comparisons .............................................................................................. 170, 1 = . 12.9. Local Option ....................................................................................................., 1 = 170. 12.10. Metalo - Cast Iron Analysis ................................................................................ 170, 1 = . 12.11. Metalo - Grain Size Analysis .............................................................................. 170, 1 = . General Index ..................................................................................................................., 1 = 171",5297,NIKON NIS ELEMENTS D Software Manual.pdf,4,Manual,Manual,balanced
3,"See also 2.1.3. Command Line Installation Options [9].
When starting NIS-Elements from the command line (or when editing the desktop shortcut properties), you may append some switches with parameters to the main command and thereby modify the startup behavior.
Note
Some switches do not have parameters.
Example 1.1. Command line switches syntax
' NIS-Elements executable' switch#1 parameter#1 switch#2 parameter#2 etc.
For example, to run NIS-Elements D and open the starting_image.jp2 at straight away, run.:
""c:\Program Files\NIS-Elements D\nis_d.exe"" -f ""C:\Images\starting_im-age.jp2""",589,NIKON NIS ELEMENTS D Software Manual.pdf,5,1. Command Line Startup Options,1. Command Line Startup Options,balanced
4,"-? Displays a help screen with the description of switches (basically this page).
-c 'Command' The application runs the specified NIS-Elements D macro Command .
-f 'Filename' The application tries to open the image pointed to by the Filename parameter.
-g 'Grabber Name' The image grabber (driver) of the specified Grabber Name will be used and no camera-selection window will show at startup. Set the parameter value to 'last' and the most recently used grabber/camera will be loaded. As the grabber name, you must use internal name of the grabber, not the one you see in the startup dialog window.
Either use one of the following names or search the application log file for the phrase 'Grabber Name' (see Fixed Grabber Startup [2]).
-gn No grabber (camera) driver will be loaded. Image acquisition will not be possible.
-h 'HW Unit Name' The specified HW Unit will be used. When using this option you must also specify the Grabber Name. Two HW Units (e.g. two DS-U2 cameras) can be run by one grabber/driver. The available HW Units are listed in the Acquire > Select *Camera Name* window. Set the parameter value to 'select' and the selection box will be shown. When using this option you must also use the -g switch. To find the HW Unit Name, please search through the application log file for 'HW Unit Name'.
-cam 'Camera Name' The specified Camera will be used. When using this option you must also specify the Grabber Name and the HWUnit Name . To find the camera name, search the application log file for 'Camera Name'. It is also possible to use only a part of the Camera Name, but the part of the name must be unique among all the available cameras.
-i 'Config Name' A user can specify the configuration to be used by NIS-Elements . The default configuration is saved in the 'C:\ProgramData\Laboratory Imaging\Platform' folder. If you want to create a custom configuration, use the -i switch, e.g.: nis_ar.exe -i ""My_Configuration"" . The config-
uration of this instance will be saved to the 'C:\ProgramData\Laboratory Imaging\My_Configuration' folder.
This is useful when using two cameras on one microscope for example. You can create a separate program shortcut which uses the -i switch to load a different configuration.
-s 'Settings File' The application will use the specified Settings File to load and save its settings. The settings file can be created from MS Windows Start menu by the NIS Settings Utility .
-l 'Language' The application will run in the specified language (if available). Use three-letter language codes according to the ISO 639 [http://en.wikipedia.org/wiki/List_of_ISO_639-2_codes] standard.
-m 'Macro File' Application will execute the macro file (*.mac) pointed to by the Macro File parameter.
-passive The application will not connect to any device on startup ( NIS-Elements D will start with blank Device Manager). Camera selection is not affected by this option.
-p 'Command' ['Param'] The application window will be placed according to the Command . Possible values are:
· left , right , top , bottom -the window is placed on the corresponding monitor screen.
· monitor N -the window is placed on the Nth monitor.
· rectangle (x0,y0,x1,y1) -the window is placed in the specified rectangle (in workspace coordinates). The coordinates must be in parenthesis without any spaces.
-q A new instance of the application will run. By default, only one instance of NIS-Elements is allowed to run.",3432,NIKON NIS ELEMENTS D Software Manual.pdf,"5, 6",Startup Switches,Startup Switches,balanced
5,"Each time NIS-Elements D is run or the grabber / camera / HW unit is changed, four parameter values are written to the application log file (C:\ProgramData\Laboratory Imaging\Platform\Logfiles).:
· Grabber Name
· HW Unit Name
· HW Unit Connection String
· Camera Name
Let's say we want to set the last used configuration for every NIS-Elements D start:
1. Lookup the parameters in the most recent log file. E.g.:
Grabber Name CLxGrabberDriverSim
HWUnit Name
SimGrabber
HWUnit Connection String (empty)
Camera Name Sim_Camera_Color
2. Modify the shortcut, E.g.:
""c:\Program Files\NIS-Elements\nis_d.exe"" -g CLxGrabberDriverSim -h SimGrabber -cam Sim_Camera_Color
3. Double-click the shortcut. NIS-Elements will start without asking for grabber selection",752,NIKON NIS ELEMENTS D Software Manual.pdf,"6, 7",Fixed Grabber Startup,Fixed Grabber Startup,balanced
6,"· NIS-Elements software setup file
· Drivers and utilities for the HASP Key
· Drivers for selected cameras
· User's Guide in the PDF file format
· Sample image database
· Sample ND2 image sequences",197,NIKON NIS ELEMENTS D Software Manual.pdf,9,2.1.1. The Installation DVD-ROM Content,2.1.1. The Installation DVD-ROM Content,balanced
7,You have to possess the administrator rights to your computer to be able to install NIS-Elements D successfully.,112,NIKON NIS ELEMENTS D Software Manual.pdf,9,Caution,Caution,balanced
8,"· Insert the installation DVD in the DVD-ROM drive. A window automatically appears.
· Install the selected NIS-Elements software version, additional modules and device drivers.
· Plug the provided HASP key into the USB port of your PC.
· Run NIS-Elements .",256,NIKON NIS ELEMENTS D Software Manual.pdf,9,Quick Guide,Quick Guide,balanced
9,"1) When the installation DVD is inserted, a selection window appears automatically.
Select the software package to be installed. Select the one you have got the license for and which is properly coded in your HASP key. The installation wizard welcome-window appears. Click Next to continue.",290,NIKON NIS ELEMENTS D Software Manual.pdf,"9, 10",Step by Step,Step by Step,balanced
