chunk_id,text,text_length,meta_filename,meta_page_numbers,meta_title,meta_headings,meta_chunking_strategy
0,"∞ Push a Yellow 'Emergency Gas Off' button
∞ Evacuate the building immediately
∞ Alert others on the way out
∞ Meet outside in front of Pierce Hall",147,cns-safety-manual.pdf,4,IF A TOXIC GAS LEAK OCCURS,IF A TOXIC GAS LEAK OCCURS,default
1,"∞ Evacuate the building immediately
∞ Alert others on the way out
∞ Meet outside in front of Pierce Hall",104,cns-safety-manual.pdf,4,IF YOU HEAR THE FIRE ALARM,IF YOU HEAR THE FIRE ALARM,default
2,"∞ If the victim is by themselves, stay close to assist.
∞ Call 911 and demand an ambulance.
∞ If requested, assist the person in removing contaminated clothing being careful not to become contaminated.
∞ Advise person to stay in shower 5 minutes for HF contamination, and 15 minutes for all other chemicals.
∞ If the chemical is Hydrofluoric Acid (HF) assist the victim in applying Calgonate (calcium gluconate) while wearing clean gloves.
∞ Get the MSDS sheet (from Fire Command Center or print from on-line) and hand it to the Emergency Response Team or fire department.
∞ Notify a staff member or call the Operations Center at 617-495-5560.",643,cns-safety-manual.pdf,4,IF YOU SEE SOMEONE UNDER THE EMERGENCY SHOWER OR EYE WASH,IF YOU SEE SOMEONE UNDER THE EMERGENCY SHOWER OR EYE WASH,default
3,"∞ Approach the nearest emergency shower or eye wash and pull the handle to activate.
∞ Demand help but remain under the emergency shower or eye wash.",149,cns-safety-manual.pdf,4,IF YOU GET CHEMICALS ON YOUR SKIN,IF YOU GET CHEMICALS ON YOUR SKIN,default
4,"∞ Pull fire alarm located at emergency exit doors
∞ Evacuate the building immediately.
∞ Alert others on the way out.
∞ Meet outside in front of Pierce Hall.",157,cns-safety-manual.pdf,4,IF A FIRE STARTS,IF A FIRE STARTS,default
5,"o Prior to access to CNS laboratories, ensure all employees, students, and/ outside users have been trained on this document.
o Enforce the contents of this document in areas that you supervise.
o Periodically review the contents of this document with the staff.
o Administer the reading and recordkeeping of this manual for all CNS staff and all users assigned to work in the CNS areas.",387,cns-safety-manual.pdf,5,CNS Management and Administration,CNS Management and Administration,default
6,"As the Safety Manual author, the LISE Health, and Safety Officer reviews this manual periodically to ensure its continued effectiveness.  Serve as point of contact for any questions relating to this document or any other environmental health and safety concerns. Enforce the contents of this document in areas that you supervise.",329,cns-safety-manual.pdf,5,LISE Health and Safety Officer,LISE Health and Safety Officer,default
7,"Safety: ensure a safe working environment.
Success: promote successful laboratory operation, scientifically and educationally productive.
Successful laboratory operation relies on individual user's understanding, participation, and selfdiscipline.
Everyone, whether faculty member, student user, or staff engineer, is equally important to the success of the protocols established at CNS.
Successful operation is a shared responsibility among all users and staff members.
Satisfaction: communicate operational strategies that satisfy user's needs.
Awareness:  Provide guidance and basic awareness. Prepare experimentalists for their future roles.",645,cns-safety-manual.pdf,5,Purpose,Purpose,default
8,"This manual is required reading for all employees and users of CNS laboratories.
This manual describes the safety hazards, engineering controls, and safety policies common to laboratories.
Study and mastery of the material in this manual are obligatory but insufficient for laboratory access. Each laboratory and instrument also have dedicated training including additional safety detail.",388,cns-safety-manual.pdf,6,Scope,Scope,default
9,"SDS (Safety Data Sheets)
Function: For determining chemical hazards and recommended precautions for use.
Use: Look up information on all chemicals prior to use.
Locations: If you have a Harvard ID Key access all SDS's on the Harvard EHS website
https://www.ehs.harvard.edu/news/material-safety-data-sheets-msds
Hard copies in the Fire Command Center LISE lobby.
Nitrile Gloves
Function : Protects cleanroom surfaces from contamination and offers wearer some splash protection against most chemicals.
Use : Don before entering cleanroom, Soft Materials Cleanroom (SMCR), North Materials Synthesis rooms G06 and G05. In other labs such as B15A (imaging sample prep room) required when handling chemicals. If you suspect chemical contamination, replace gloves as soon as possible.
Location : At or near the entrances to each area.",827,cns-safety-manual.pdf,6,Emergency & Personal Protective Equipment,Emergency & Personal Protective Equipment,default
10,"Function : Offers protection against objects that may injury your eye if projected and also offers some protection against chemicals.
Use : Always wear when entering wet laboratory handling liquid chemicals, and as instructed for each laboratory space.
Location : In the growing area and at entrances to lab spaces.
Oversized safety glasses can be used to place over prescription glasses
Acid Handling Personnel Protective Equipment (PPE)
Function : For personal protection against chemical splashes. The items are chemical resistant.
Use #1: Always wear the above PPE when handling any acid (including hydrogen peroxide and etchants like chromium etchants) or any sturdy base (ammonium hydroxide, potassium hydroxide, sodium hydroxide, etc.).
NOTE: Contamination Prevention: Prior to use, wipe the outside and inside of the face shield window with a wet wipe.  Dry the shield with a dry wipe.
In addition, rinse yellow chemical gloves with DI water if you suspect they are contaminated and also before throwing them into the trash. Yellow chemical glove contains natural rubber which may contain allergens. Beige nitrile gloves must be worn under the yellow chemical gloves so outer glove will not be in contact with skin.
Location : By the wet benches.",1254,cns-safety-manual.pdf,7,Safety Glasses and/or Goggles,Safety Glasses and/or Goggles,default
11,"Function : Protection from chemical contamination and projectiles.
Use : Wear face shield and nitrile gloves anytime substrates are spinning on spinners in the solvent spin benches.
Use : Wear face shield when pouring from anyone-gallon containers.
Use : Wear long 16-inch blue gloves over the beige nitrile gloves when working at any wet bench except the acid benches.
Use : Wear a safety glasses, face shield, yellow chemical apron, pair of blue 16-inch nitrile glove over the beige nitrile glove when pouring from one-gallon bottles of developers that contain tetramethyl ammonium hydroxide (i.e., MF-CD26, MF 319, 300 MIF, 726 MIF) or bottles that contain n-methyl pyrrolidone (Remover PG, Baker PRS 3000) or bottles of hexamethyl disilazane (HMDS).
Location : At the Personal Protective Equipment racks near wet benches or fume hoods
Cryo-gloves and Face shield for Liquid Nitrogen, liquid helium
Function : For personal protection against cryogenic liquid exposure.
Use : At a minimum; a face shield and cryogenic approved gloves must be worn when transferring or any time there is a potential exposure to cryogenic liquid.
Location : Anywhere there is a transferring of cryogenic liquid from one vessel to another.
Function : To alert building occupants of a fire or similar emergency requiring immediate evacuation.
Use : Upon alarm, evacuate building and proceed to nearest fire stairwell and report to rally point in front of Pierce Hall. Adhere to any instructions provided over the public address system (delivered from the fire command center at the LISE lobby). LISE fire alarms will activate on the floor with emergencies, floor above, and floor below.
Location : Throughout the building.",1703,cns-safety-manual.pdf,"8, 9",Other Chemical Handling Personnel Protective Equipment (PPE),Other Chemical Handling Personnel Protective Equipment (PPE),default
12,"Function : To alert others of a fire in case the alarm does not start on its own. At solvent benches, pull stations will also activate CO2 suppression system.
Use : Pull white T bar down.
Location : Fire alarm pulls are in all labs, at each entrance to each fire stairwell, and at each solvent wet bench. Solvent bench pull station will ALSO activate CO2 suppression system at that bench.",388,cns-safety-manual.pdf,9,Fire Alarm Pull Station,Fire Alarm Pull Station,default
13,"Function : Part of the Toxic Gas Monitoring System. Used to activate the blue toxic gas alarm and the fire alarm and will also shut down (at the gas cabinet) all the toxic/pyrophoric/flammable/corrosive gases.
Use : Lift cover and push in.
Location : At each exit from the following areas: cleanroom, G04, G05, G06, G12, G27, M14 gas bunker, and at loading dock exits.",368,cns-safety-manual.pdf,9,Emergency Gas Off (EGO) Stations,Emergency Gas Off (EGO) Stations,default
14,"Function : To alert occupants of emergencies associated with toxic gases including chemical release or system problems such as exhaust failure.
Use : Listen to the alarm and find an emergency exit. Blue alarm means potential gas leak in breathing area. Leave the building and report to the area in front of Pierce Hall. Yellow/amber alarm means potential gas leak in gas cabinet or tool exhaust or loss of cleanroom exhaust. When you hear it, leave the immediate area, and wait in any location where amber lights are not flashing until further notice. Never enter any CNS room when either amber or blue lights are flashing.
Location : Throughout cleanroom and labs on ground level, the mezzanine level of LISE, LISE loading dock, LISE roof HVAC area, Science Center roof top, chiller plant roof top, and Science Center mail room.
Toxic gas use is only allowed non-holidays, Monday through Friday, between the hours of 6am and 11pm.
Fire Extinguishers
Function : Used to put out a small incipient fire.
Use: To be used by building occupants who have been trained in fire extinguisher training. Harvard EHS offers a fire extinguisher course from May to October every year.
Location : In main hallways and in each lab.",1215,cns-safety-manual.pdf,10,Toxic Gas Alarm Enunciator and Strobe,Toxic Gas Alarm Enunciator and Strobe,default
15,"Function : Supplies for minor first aid.
Use : To be used to apply first aid to minor cuts. It is also a location of Calgonate (calcium gluconate gel) to be applied to hydrofluoric acid (HF) burns.
Location: At ground and basement floor elevator lobbies and in the cleanroom gowning area.",288,cns-safety-manual.pdf,11,First Aid Kit,First Aid Kit,default
16,"Function : To neutralize the fluorine ions as a result of hydrofluoric (HF) acid exposure.
Use : Put on clean gloves and apply Calcium Gluconate to affected area of skin after someone has called 5-5560 and after affected area has been rinsed with water for 5 minutes. Rinse your eyes for 15 minutes and do NOT apply Calgonate to the eyes. Allows seek medical attention post HF exposure.
Location : At each wet bench that utilizes Hydrofluoric acid and at the first aid kit in the cleanroom gowning area.",503,cns-safety-manual.pdf,11,' Calgonate' contains calcium gluconate,' Calgonate' contains calcium gluconate,default
17,"Function : To serve as the first means of egress from a lab or cleanroom.
Use : Occupants exit these large egress doors of laboratory during fire alarms and blue light toxic gas alarms and then find the nearest stairwell to leave building and then meet in front of Pierce Hall.
Location : See each lab for location. In the cleanroom there are six emergency exits - 3 on the window (clean) side and 3 on the service chase side of cleanroom.",439,cns-safety-manual.pdf,11,Emergency Exits inside the cleanrooms or in other lab spaces,Emergency Exits inside the cleanrooms or in other lab spaces,default
18,"∞ Function : To revive someone if their heart stops beating.
∞ Use : To be used by trained personnel.  Instructions in kit.
∞ Location : First floor, ground floor, and third floor elevator lobbies.",197,cns-safety-manual.pdf,12,Automatic External Defibrillator (AED),Automatic External Defibrillator (AED),default
19,"Function : The red button on equipment is there to place the machine in a de-energized state during emergency situations.
Use : Find and push in the red button to place machine in de-energized state when equipment is smoking, shaking, leaking gas, or exhibiting any other emergency-related equipment failure.
Location : On most machines in cleanroom, G05, G06, B15A sample prep room, and in the imaging suites on some microscopes.",430,cns-safety-manual.pdf,12,Emergency Machine/Mains Off (EMO) Button,Emergency Machine/Mains Off (EMO) Button,default
20,"Function : For chemical decontamination of a person or their clothing.
Use :   Remove contaminated clothing and pull stainless steel triangle and stay under shower for 15 minutes. If exposed to HF, use an emergency shower for 5 minutes, then apply Calcium Gluconate. Water is warm.
If eye contamination, hold eyes open with hands and place eyes directly over the eye wash station for 15 minutes.  Water is warm.
L ocation : There are six showers and eyewash stations in the cleanroom. Another is in basement just outside B15A sample prep lab, and there is another in G06.
There is a modesty curtain attached to the shower and a Tyvek suit attached to the wall. The Tyvek suit can be put on in place of contaminated clothing.
Most showers drain directly onto the floor.
Figure 1: Locations of safety showers and eye washes.",822,cns-safety-manual.pdf,"12, 13",Emergency Showers and Eye Wash Stations,Emergency Showers and Eye Wash Stations,default
21,"∞ Function : To notify people in an area that a piece of equipment is in shut down mode.
∞ Use : Tag is attached to the equipment or its power source to inform affected employees (people not working on the piece of equipment but may desire to operate it) that a qualified mechanic is working on the equipment and equipment must not be energized nor operated.
∞ Location : May be used anywhere in the building.",409,cns-safety-manual.pdf,14,Lock out Tags,Lock out Tags,default
22,"∞ Function : Exhausted enclosure to isolate personnel from chemical fumes or reactions.
∞ Use : Fume hood exhaust must be functional, and sash lowered to 18-inch mark or lower for isolation to be effective. Never put head in hood.
∞ Location : There is one exhausted standard fume hood in B15A.",294,cns-safety-manual.pdf,14,Exhausted Fume Hood,Exhausted Fume Hood,default
23,"Function : Exhausted chemical work benches which provide protection from fumes.  It also provides UV sterilization.
Use : Exhaust system must be functional, and sash lowered to provide protection. Do not attempt to use hood during UV cleaning process.
Location
: Two bio hoods in G05.
Acid Wet Bench
Function : Exhausted enclosure, like fume hood but with slanted sash design. White plastic provides limited acid resistance against spills.
Use : Exhaust must be operational during use (system will alarm if exhaust insufficient). Training required.
Location : G06 and G07 (cleanroom).
Solvent Wet Bench
Function : Exhausted enclosure, similar to fume hood but with slanted sash design.  Polished steel provides limited solvent resistance against spills.
Use : Exhaust must be operational during use (system will alarm if exhaust insufficient). Training required.
Location : G06 and G07 (cleanroom).",898,cns-safety-manual.pdf,"14, 15",Bio Hood (biosafety cabinet),Bio Hood (biosafety cabinet),default
24,All CNS main laboratory spaces have video cameras and recorders. Used for remote monitoring during emergency. Used to investigate safety incidents.,147,cns-safety-manual.pdf,16,Video System,Video System,default
