chunk_id,text,text_length,meta_filename,meta_page_numbers,meta_title,meta_headings,meta_chunking_strategy
0,"∞ Push a Yellow 'Emergency Gas Off' button
∞ Evacuate the building immediately
∞ Alert others on the way out
∞ Meet outside in front of Pierce Hall",147,cns-safety-manual.pdf,4,IF A TOXIC GAS LEAK OCCURS,IF A TOXIC GAS LEAK OCCURS,fine_grained
1,"∞ Evacuate the building immediately
∞ Alert others on the way out
∞ Meet outside in front of Pierce Hall",104,cns-safety-manual.pdf,4,IF YOU HEAR THE FIRE ALARM,IF YOU HEAR THE FIRE ALARM,fine_grained
2,"∞ If the victim is by themselves, stay close to assist.
∞ Call 911 and demand an ambulance.
∞ If requested, assist the person in removing contaminated clothing being careful not to become contaminated.
∞ Advise person to stay in shower 5 minutes for HF contamination, and 15 minutes for all other chemicals.
∞ If the chemical is Hydrofluoric Acid (HF) assist the victim in applying Calgonate (calcium gluconate) while wearing clean gloves.
∞ Get the MSDS sheet (from Fire Command Center or print from on-line) and hand it to the Emergency Response Team or fire department.
∞ Notify a staff member or call the Operations Center at 617-495-5560.",643,cns-safety-manual.pdf,4,IF YOU SEE SOMEONE UNDER THE EMERGENCY SHOWER OR EYE WASH,IF YOU SEE SOMEONE UNDER THE EMERGENCY SHOWER OR EYE WASH,fine_grained
3,"∞ Approach the nearest emergency shower or eye wash and pull the handle to activate.
∞ Demand help but remain under the emergency shower or eye wash.",149,cns-safety-manual.pdf,4,IF YOU GET CHEMICALS ON YOUR SKIN,IF YOU GET CHEMICALS ON YOUR SKIN,fine_grained
4,"∞ Pull fire alarm located at emergency exit doors
∞ Evacuate the building immediately.
∞ Alert others on the way out.
∞ Meet outside in front of Pierce Hall.",157,cns-safety-manual.pdf,4,IF A FIRE STARTS,IF A FIRE STARTS,fine_grained
5,"o Prior to access to CNS laboratories, ensure all employees, students, and/ outside users have been trained on this document.
o Enforce the contents of this document in areas that you supervise.
o Periodically review the contents of this document with the staff.
o Administer the reading and recordkeeping of this manual for all CNS staff and all users assigned to work in the CNS areas.",387,cns-safety-manual.pdf,5,CNS Management and Administration,CNS Management and Administration,fine_grained
6,"As the Safety Manual author, the LISE Health, and Safety Officer reviews this manual periodically to ensure its continued effectiveness.  Serve as point of contact for any questions relating to this document or any other environmental health and safety concerns. Enforce the contents of this document in areas that you supervise.",329,cns-safety-manual.pdf,5,LISE Health and Safety Officer,LISE Health and Safety Officer,fine_grained
7,Safety: ensure a safe working environment.,42,cns-safety-manual.pdf,5,Purpose,Purpose,fine_grained
8,"Success: promote successful laboratory operation, scientifically and educationally productive.",94,cns-safety-manual.pdf,5,Purpose,Purpose,fine_grained
9,"Successful laboratory operation relies on individual user's understanding, participation, and selfdiscipline.",109,cns-safety-manual.pdf,5,Purpose,Purpose,fine_grained
10,"Everyone, whether faculty member, student user, or staff engineer, is equally important to the success of the protocols established at CNS.",139,cns-safety-manual.pdf,5,Purpose,Purpose,fine_grained
11,Successful operation is a shared responsibility among all users and staff members.,82,cns-safety-manual.pdf,5,Purpose,Purpose,fine_grained
12,Satisfaction: communicate operational strategies that satisfy user's needs.,75,cns-safety-manual.pdf,5,Purpose,Purpose,fine_grained
13,Awareness:  Provide guidance and basic awareness. Prepare experimentalists for their future roles.,98,cns-safety-manual.pdf,5,Purpose,Purpose,fine_grained
14,This manual is required reading for all employees and users of CNS laboratories.,80,cns-safety-manual.pdf,6,Scope,Scope,fine_grained
15,"This manual describes the safety hazards, engineering controls, and safety policies common to laboratories.",107,cns-safety-manual.pdf,6,Scope,Scope,fine_grained
