chunk_id,text,text_length,meta_filename,meta_page_numbers,meta_title,meta_headings,meta_chunking_strategy
0,RIE,3,RIESOPv2DRAFT.pdf,1,Standard Operating Procedure:,Standard Operating Procedure:,default
1,The Reactive Ion Etcher (RIE) uses a radio-frequency-powered electromagnetic field to generate a plasma in a vacuum chamber. Gasses pumped in while the RF power is active are ionized and bombard the sample- removing material through both chemical and physical mechanisms.,271,RIESOPv2DRAFT.pdf,1,Section 1: Hardware Description and Principle of Operation,Section 1: Hardware Description and Principle of Operation,default
2,"Ultraviolet Radiation
Mechanical Pinch-Point (also add high voltage? No sticker on tool)
Note- If you are sensitive to magnetic fields (eg- use a Pacemaker) please consult with tool manager. (There are magnets in the turbo pump at the tool rear)",245,RIESOPv2DRAFT.pdf,2,Standard Operating Procedure: RIE,Standard Operating Procedure: RIE,default
3,"Be aware that hazardous flammable and oxidizing gasses are used in the RIE tool. The gasses are safely contained, and the lab is equipped with a Toxic Gas Monitoring System (TGMS)- but always be alert and aware of any unusual tool behavior. Contact staff immediately with concerns. Evacuate the building immediately if the TGMS Blue Light Alarm sounds and encourage others to do so too. If the TGMS Yellow Light Alarm sounds, evacuate the cleanroom. If you ever smell anything unusual during venting, immediately close the tool and contact staff.
Any process recipe using a double-valve interlocked Hazardous Gas needs to incorporate a sufficient inert purge step afterwards (5 minutes, 100 SCCM Argon). The double-valve interlocked hazardous gas on the RIE is Methane (CH ). 4
Oxidizing and flammable gasses must never mix in the chamber . On this tool, the oxidizing gas is Oxygen (O ) and the flammable gas is Methane (CH ). 2 4
Gas
GHS Labels
Hazards
Revision 2.0     Created May 15, 2025",992,RIESOPv2DRAFT.pdf,2,Note On Hazardous Gasses:,Note On Hazardous Gasses:,default
4,"Argon (Ar), -Gasses Under Pressure   -Danger  -Oxidizing! = -Gasses Under Pressure (may displace  oxygen)  -Warning  -Simple Asphyxiant. Methane (CH4), -Gasses Under Pressure   -Danger  -Oxidizing! = -Gasses Under Pressure (may displace  oxygen)  -Danger  -Flammable!. Trifluoromethane (CHF3), -Gasses Under Pressure   -Danger  -Oxidizing! = -Gasses Under Pressure (may displace  oxygen)  -Warning  -Specific Target Organ Toxicity -  Single Exposure. Sulfur Hexafluoride (SF )  6, -Gasses Under Pressure   -Danger  -Oxidizing! = -Gasses Under Pressure (may displace  oxygen)  -Warning. Tetrafluoromethane (CF4 ), -Gasses Under Pressure   -Danger  -Oxidizing! = -Gasses Under Pressure (may displace  oxygen)  -Warning
For Full MSDS Information, Visit:
O2:  https://www.airgas.com/msds/001043.pdf
Ar: https://www.airgas.com/msds/001004.pdf
CH4: https://www.airgas.com/msds/001033.pdf
CHF3:
https://www.efcgases.com/wp-content/uploads/2024/09/EFC-Trifluoromethane-SDS-EF-004.pdf ?x83664
SF6: https://www.airgas.com/msds/001048.pdf
CF4: https://www.airgas.com/msds/001051.pdf",1071,RIESOPv2DRAFT.pdf,"3, 4",Standard Operating Procedure: RIE,Standard Operating Procedure: RIE,default
5,"Inhalation, (eye/skin contact? UV/Rf stuff? NOTE ICP F WAFER SMELL ISSUE)",73,RIESOPv2DRAFT.pdf,4,Section 4: Routes of Exposure,Section 4: Routes of Exposure,default
6,"Before using the tool, all users must have already been approved to access the cleanroom facility. While using the tool, users must adhere to all rules outlined during cleanroom orientation and in the facility manuals. Only users that have been qualified may use the tool independently. The steps required for qualification are given at the end of this SOP. Only the tool manager may qualify new users.
It is the responsibility of the tool user to always know the most up-to-date tool information. in the CUNY ASRC Nanofab slack. All users must join the slack channel.
Recent information can be found in this SOP, may be shared via email, or in the #icp_rie channel (https://app.slack.com/client/T2SMN1H8Q/C364LUTGA)",716,RIESOPv2DRAFT.pdf,4,Section 5: Approval and Training,Section 5: Approval and Training,default
7,"Cleanroom suits (including booties, hairnets, and hoods), nitrile cleanroom gloves, and eye protection are always required inside the cleanroom and when using the tool or the nearby nitrogen blow gun. (could also say just eye protection for N2 gun, but moving to mandating eye protection all the time anway)",307,RIESOPv2DRAFT.pdf,5,Standard Operating Procedure: RIE,Standard Operating Procedure: RIE,default
8,"All materials (both exposed and not exposed) entering the tool must be disclosed and approved before insertion into only their approved etcher . Any changes to the materials or gas chemistry of the etch process must be explicitly approved in writing by the etch tool manager. Requests can be made using this form:
https://asrc.formstack.com/forms/asrc_nanofabrication_facility_etch_process_request_form
The form can also be accessed here:
Fomblin oil is available at the ICP-RIE tools for chip adherence to carrier wafer if needed.
Any item entering the chamber that is not a wafer, chip, or slide must be explicitly disclosed and approved.
Chips and wafers processed in the RIE should not then be processed in the ICP-RIE tools, even if the  materials  they  are  made  of  would  usually  be  allowed.  Speak  to  tool  manager  for  further details.
(Restrict carrier wafer to only tool training wafer?)",906,RIESOPv2DRAFT.pdf,5,Section ## : Material Approval Process and Restrictions,Section ## : Material Approval Process and Restrictions,default
9,"All materials in the chamber must be first approved by the tool manager. As this tool does not have a load lock, it is generally advised that no toxic materials (eg- Arsenic, Indium Tin Oxide, MoSe2, WSe2, or any other material whose MSDS contains the symbols below) be etched in significant quantities. If permitted by the tool manager, any time a toxic material is etched, it must be followed by a purge step (5 minutes, 100 SCCM Argon) before the main chamber can be vented and opened. As a precaution, all recipes on this tool are followed by a built-in purge step that must always be run. There is also a stand alone 'PURGE' recipe that can be run if the step is accidentally skipped.
Material MSDS Symbols indicating potential toxicity:
If you need to prematurely stop a process step with hazardous gasses or materials, it is preferable to click 'Skip Phase' rather than stop . This ensures any additional purge steps of the recipe are completed before venting. (There is also a shorter purge built into the venting process)",1030,RIESOPv2DRAFT.pdf,6,Note on Toxic Materials:,Note on Toxic Materials:,default
